index,Year Built,lat,lng
269663,1984.0,61.1422804127481, -149.958117610741
269664,1984.0,61.14228002894231, -149.958318742668
269665,1974.0,61.20163875656952, -149.841573936951
269666,1984.0,61.10408451245594, -149.83119305885901
269667,1977.0,61.103762831281145, -149.81614138132701
269668,2002.0,61.12970330200681, -149.716740808071
269669,2019.0,61.12724062672284, -149.71850720435
269670,2008.0,61.12734009412527, -149.717330843325
269671,1985.0,61.12842230637593, -149.71628654318002
269672,1984.0,61.129201882470674, -149.71623541823902
269673,1973.0,61.17133006954479, -149.84655898044602
269674,1978.0,61.12651022698731, -149.723956731828
269675,1981.0,61.12615450454166, -149.72429509441898
269676,2017.0,61.17636596452629, -149.939248690495
269677,1984.0,61.14243610027668, -149.955335483116
269678,1986.0,61.05753711569452, -149.771738932189
269679,1988.0,61.12573165651266, -149.724692145424
269680,1984.0,61.12528528784728, -149.72505621691
269681,1974.0,61.20180536939298, -149.841628906858
269682,1976.0,61.097035882475, -149.850832601873
269683,1982.0,61.12656600405429, -149.72663802794102
269684,2000.0,61.12849597318792, -149.72487868148602
269685,1996.0,61.12860308269456, -149.725532878161
269686,1994.0,61.12774122740043, -149.726604355032
269687,1970.0,61.15965869101627, -149.836577294366
269688,2014.0,61.340096593958506, -149.581312596779
269689,2014.0,61.34087019613524, -149.578963164997
269690,1974.0,61.20189070403898, -149.84154682424798
269691,1974.0,61.2019555551529, -149.841473932908
269692,1979.0,61.12687853374601, -149.72854788126398
269693,1981.0,61.1414758601395, -149.966612967446
269694,1982.0,61.14099615946265, -149.927190618715
269695,1983.0,61.10443847362682, -149.831315858371
269696,1993.0,61.18814600512311, -149.950514346955
269697,1977.0,61.1991214685615, -149.90478086514503
269698,1980.0,61.10684568732544, -149.873413732701
269699,1974.0,61.20201163302214, -149.841400268917
269700,1979.0,61.12673530650007, -149.72870811673
269701,1970.0,61.1258881245, -149.728769379836
269702,1974.0,61.12494228477474, -149.729438460491
269703,1972.0,61.171524236426094, -149.84656181532503
269704,1980.0,61.20602408506103, -149.75716017616801
269705,1978.0,61.10301077338779, -149.808124704578
269706,1974.0,61.10264112345215, -149.854347653448
269707,1970.0,61.12426348168284, -149.729751336651
269708,1971.0,61.12365395096728, -149.729891099728
269709,1974.0,61.12923707064032, -149.723917295141
269710,1983.0,61.12768940785639, -149.72239349781
269711,1977.0,61.12721934512922, -149.72330595039
269712,1984.0,61.12976575040821, -149.727675277905
269713,1979.0,61.18143508396924, -149.724234034657
269714,1982.0,61.141678945846586, -149.95667417750101
269715,1983.0,61.10315937479848, -149.830031818848
269716,1994.0,61.19927834475326, -149.841831225725
269717,1976.0,61.12923442621835, -149.72477167619402
269718,1978.0,61.12921861902744, -149.727950791023
269719,2001.0,61.12716569697942, -149.72926200174302
269720,1963.0,61.12330011156102, -149.74420167983502
269721,1963.0,61.19895876630408, -149.84914803757903
269722,1967.0,61.12407786466423, -149.742787144807
269723,1993.0,61.12411505725709, -149.74195644615
269724,1971.0,61.12396471017552, -149.74113004532103
269725,1994.0,61.12364808625983, -149.740593933835
269726,1961.0,61.12608316930753, -149.744106166419
269727,1983.0,61.12687260948102, -149.74304370771898
269728,2003.0,61.12005982248121, -149.927646871086
269729,1975.0,61.12639027904251, -149.738115845362
269730,1984.0,61.42126473622371, -149.440951024906
269731,1973.0,61.125841868908445, -149.738148959156
269732,1997.0,61.41348117025381, -149.159767338197
269733,1975.0,61.12546641996489, -149.73833298948801
269734,1985.0,61.30483279848859, -149.52978586562003
269735,1989.0,61.3041085539614, -149.52250515645102
269736,1963.0,61.19918028412898, -149.848446195534
269737,1972.0,61.12468136009993, -149.73903186261
269738,1979.0,61.12426004895976, -149.73943110600902
269739,2010.0,61.12321692149873, -149.737577660084
269740,2003.0,61.12326280603742, -149.738156503759
269741,1976.0,61.1234188798696, -149.739408220004
269742,1981.0,61.12680142880508, -149.738546147132
269743,1972.0,61.17172057812524, -149.84656467932402
269744,1963.0,61.19918013274573, -149.848108212209
269745,1993.0,61.12636811331265, -149.73857177569002
269746,1984.0,61.41918374501493, -149.438904813707
269747,1975.0,61.12550360247258, -149.739165954365
269748,1979.0,61.125925973642005, -149.740661733736
269749,1980.0,61.12593527914603, -149.741181143954
269750,2003.0,61.12012388784464, -149.927785627117
269751,1983.0,61.18812255985793, -149.95013752156402
269752,1963.0,61.19917998719667, -149.847783478129
269753,1981.0,61.12582526687929, -149.74102699529502
269754,1982.0,61.12554459733382, -149.74058098944099
269755,1979.0,61.12534713980378, -149.739811314302
269756,1994.0,61.12420719821619, -149.74000051702302
269757,1972.0,61.17191807699703, -149.84656756605602
269758,2000.0,61.14434299868618, -149.958459090042
269759,1999.0,61.14431323973529, -149.958241906141
269760,1997.0,61.30263749956474, -149.53320746936498
269761,1981.0,61.126771045382, -149.74087281661102
269762,1983.0,61.1271870175969, -149.740900107834
269763,1982.0,61.12790952678355, -149.740762053481
269764,1994.0,61.41758936109189, -149.413947505251
269765,1980.0,61.12811758976676, -149.739497618215
269766,1983.0,61.12837860712062, -149.738902400118
269767,1981.0,61.12854795975659, -149.73865961942502
269768,2004.0,61.34120326079533, -149.572942808814
269769,1992.0,61.30327147881964, -149.530080736124
269770,1982.0,61.12886359553583, -149.738149256592
269771,1978.0,61.12898355333597, -149.738316699019
269772,1982.0,61.128981270392224, -149.73869527027202
269773,1984.0,61.12898129161966, -149.740162177449
269775,1982.0,61.128224121216434, -149.740179663343
269776,1978.0,61.130086031283845, -149.739802479068
269777,1963.0,61.19917983750747, -149.847450897688
269778,1983.0,61.1299177155724, -149.740329864089
269779,1981.0,61.12930463291526, -149.740487183641
269780,2001.0,61.12880967620359, -149.740879902117
269781,1983.0,61.12827124858647, -149.74130364547
269782,1981.0,61.12797411361626, -149.74135039430698
269783,1994.0,61.126336342634005, -149.73309716958602
269784,2005.0,61.12073894784663, -149.93476549515202
269785,1983.0,61.18826287961608, -149.95014081933502
269786,2001.0,61.14284019771292, -149.953670779397
269787,1984.0,61.10174304082858, -149.777805347894
269788,1963.0,61.1991796659168, -149.84708023631902
269789,1984.0,61.12548449457985, -149.73486005079
269790,1999.0,61.125249459745625, -149.735513192547
269791,1984.0,61.12485750778762, -149.735630109784
269792,2005.0,61.12844320743983, -149.744164101737
269793,1969.0,61.176901407980814, -149.85013092574
269794,1995.0,61.299922345996805, -149.529319638929
269795,1997.0,61.29912793904586, -149.527836373859
269796,1964.0,61.199179500632624, -149.846718464464
269797,1997.0,61.1280144426592, -149.74416053728999
269798,1994.0,61.12782340602016, -149.744163117055
269799,1981.0,61.127066867484, -149.743017451182
269800,1972.0,61.172166803600085, -149.846214541209
269801,1976.0,61.16017475179032, -149.949161793997
269802,1986.0,61.10459696178938, -149.829167604924
269803,1964.0,61.19917944807249, -149.84637734550702
269804,1977.0,61.13019482652631, -149.73721788228102
269805,1964.0,61.130250061911816, -149.743982818799
269806,2001.0,61.129851431482486, -149.73583328354502
269807,1994.0,61.1298346600302, -149.735133976505
269808,1998.0,61.12978041391085, -149.73303976988902
269809,1972.0,61.17191285064873, -149.845995183943
269810,1997.0,61.129100108532434, -149.735164178316
269811,1997.0,61.12791773760668, -149.733575598392
269812,1999.0,61.12758131017494, -149.733635907176
269813,1970.0,61.101130710846, -149.85935164872
269814,1985.0,61.12691391348056, -149.733580424485
269815,1996.0,61.12679981916687, -149.733018397841
269816,1994.0,61.12693930692759, -149.72962921381
269817,1999.0,61.12786123551408, -149.731578194488
269818,2005.0,61.120797779157854, -149.934668000984
269819,1993.0,61.1280363934213, -149.731805422819
269820,1997.0,61.12891542543977, -149.733015957174
269821,1964.0,61.19005916648945, -149.740743026983
269822,1998.0,61.12980806884327, -149.732147341097
269823,1977.0,61.10150662501345, -149.80982317605398
269824,1999.0,61.13052011472236, -149.729924223618
269825,1973.0,61.19106117374976, -149.740777225634
269826,2003.0,61.143208473159184, -149.953190976006
269827,2003.0,61.143258445302735, -149.953241569865
269828,1974.0,61.12437583432804, -149.743303307175
269829,1965.0,61.12209789766869, -149.801423875326
269830,1983.0,61.306755591369374, -149.53006784412
269831,1949.0,61.15158341307105, -149.89243301596102
269832,1974.0,61.122812630667454, -149.798994005906
269833,1964.0,61.122497197385286, -149.800030585765
269834,1968.0,61.199179250448175, -149.846060990985
269835,1999.0,61.12207744537916, -149.800336092163
269836,1973.0,61.17141480078036, -149.846201373821
269837,2003.0,61.14382006388879, -149.954004273537
269838,2003.0,61.1439029805406, -149.953822009882
269839,2003.0,61.14393821466202, -149.95374901397298
269840,1977.0,61.1991214685615, -149.90478086514503
269841,1999.0,61.41838937850399, -149.41159954620403
269842,1966.0,61.122612088403365, -149.797928886294
269843,1965.0,61.119764216291244, -149.796534087907
269844,1983.0,61.120549224035024, -149.796539322961
269845,1954.0,61.20438042493724, -149.77639530851403
269846,1991.0,61.10405201283915, -149.820362268839
269847,1972.0,61.10720387859361, -149.826343416068
269848,1981.0,61.121141448905554, -149.796467119873
269849,2016.0,61.12194581434202, -149.796486439853
269850,1975.0,61.17545556652414, -149.910768622742
269851,1978.0,61.10262165406343, -149.807376433266
269852,2003.0,61.10789254917362, -149.887907129528
269853,2018.0,61.122317487255145, -149.796520064681
269854,1957.0,61.12284113057392, -149.795710855527
269855,1998.0,61.11963256085716, -149.792529682087
269856,2018.0,61.12270004973367, -149.78959636539702
269857,1968.0,61.1214451444778, -149.7895145686
269858,1968.0,61.12007846179002, -149.79333681399
269859,2017.0,61.142600079934965, -149.970375909046
269860,1974.0,61.10477310359163, -149.849640944979
269861,2004.0,61.074404081834, -149.787192604147
269862,1977.0,61.119565031824, -149.79358614020998
269863,1977.0,61.119565031824, -149.79358614020998
269864,1957.0,61.14221078361477, -149.967052369615
269865,1968.0,61.14259544884932, -149.967074384905
269866,1998.0,61.15335723733626, -149.808725242729
269867,1983.0,61.12199250702568, -149.791356118385
269868,1953.0,61.14356414355863, -149.967061485941
269869,2000.0,61.14374686723685, -149.970371395201
269870,1975.0,61.101567696938034, -149.763938973959
269871,1978.0,61.12203392043399, -149.793722472439
269872,1957.0,61.12283775683839, -149.794550716452
269873,1970.0,61.12058959344615, -149.80389824697
269874,2013.0,61.1435537470593, -149.970797594784
269875,1971.0,61.10675108392718, -149.840355815349
269876,1972.0,61.12033074593626, -149.803972791832
269877,1969.0,61.14461142427045, -149.971996324732
269878,2014.0,61.14411231285499, -149.971025029473
269879,1984.0,61.305407197452894, -149.534658462005
269880,1954.0,61.11962658108432, -149.803969229953
269881,2005.0,61.12098962104265, -149.789516025729
269882,1964.0,61.120699833525926, -149.789551975108
269883,1999.0,61.13842057842918, -149.940927310666
269884,2010.0,61.10570114660708, -149.744833080329
269885,1983.0,61.10727642488475, -149.77208928593802
269886,1995.0,61.12032890795713, -149.789517716247
269887,1991.0,61.11976929380797, -149.789444946225
269888,1974.0,61.12116583898825, -149.796974595638
269889,2014.0,61.12055028398069, -149.796982598869
269890,1981.0,61.12028905368202, -149.79703818566
269891,1978.0,61.11976164882356, -149.796917211164
269892,1977.0,61.12091140539205, -149.794286691648
269893,1978.0,61.10634440965177, -149.750757767175
269894,1995.0,61.106205129137024, -149.840230420651
269895,1985.0,61.30591139901922, -149.530187251656
269896,1995.0,61.305707957387895, -149.513470869243
269897,1976.0,61.1204773927518, -149.794293107746
269898,2001.0,61.12002213052234, -149.801658722344
269899,2003.0,61.12049994935315, -149.801689094206
269900,2017.0,60.95162143125012, -149.12766443202798
269901,2004.0,61.1204991437769, -149.801140369329
269902,2003.0,61.11979069851933, -149.80117094690303
269903,1969.0,61.12206417768677, -149.78994228351402
