,Year Built,lat,lng
110,1963,61.215047931358,-149.906934737455
149,1964,61.230388837619,-149.802966656243
168,1968,61.215324656318,-149.905948866728
340,1965,61.210388142926,-149.913730687127
344,1969,61.210264819943,-149.912183004717
345,1965,61.209779718045,-149.91268508726
372,1961,61.212722457285,-149.912055583731
380,1965,61.212972583427,-149.912655912273
382,1962,61.213332261206,-149.913500861098
397,1968,61.211747428715,-149.916512491273
420,1965,61.209782556016,-149.917683583112
421,1961,61.209782595565,-149.918114671726
422,1967,61.209782699115,-149.919249318411
426,1967,61.210595327186,-149.917686242449
431,1963,61.210889365509,-149.918499700724
436,1969,61.209782153868,-149.921129316373
437,1961,61.209782634793,-149.920580292833
525,1968,61.212640602666,-149.902196747782
527,1966,61.212640691256,-149.901397731903
540,1964,61.210760721878,-149.901807506745
670,1964,61.21205052647,-149.907599216652
671,1965,61.211884412294,-149.907599697754
674,1969,61.211195502573,-149.906196141714
676,1963,61.21157518029,-149.905758805878
677,1963,61.211575194939,-149.905453811309
689,1965,61.210762061627,-149.905866628084
690,1967,61.210868646441,-149.906315199202
691,1965,61.210903252866,-149.906559121969
692,1961,61.210766795798,-149.906880832553
694,1961,61.211054279038,-149.90760209622
741,1965,61.211573833034,-149.909207489193
746,1961,61.21076254879,-149.909207306948
755,1963,61.210593214241,-149.911155363321
763,1961,61.210333707263,-149.907965489551
764,1963,61.209780754279,-149.908613501107
766,1962,61.209779401726,-149.909516901125
771,1965,61.209778083319,-149.911154603016
772,1964,61.20977775781,-149.91155617377
790,1965,61.208609195445,-149.89813955171
812,1967,61.2081484062,-149.899428082257
819,1961,61.209106508381,-149.899424011637
820,1969,61.209239882901,-149.899422928416
837,1961,61.207154865996,-149.899784880306
839,1961,61.206907275763,-149.899785661358
840,1961,61.206796091581,-149.899786008973
847,1965,61.206788924774,-149.901469150402
856,1961,61.208005934486,-149.901464378446
859,1964,61.208434342906,-149.901467276147
863,1964,61.20879094097,-149.901133530877
890,1963,61.209497750038,-149.904535373317
891,1966,61.209284862052,-149.904534401489
896,1965,61.208421839775,-149.904530469624
898,1967,61.208146985479,-149.904529214753
908,1963,61.208220645504,-149.904835643802
909,1963,61.208067652848,-149.904834835169
922,1961,61.208195997376,-149.906069930114
933,1961,61.207291851044,-149.90760178895
949,1962,61.206630546438,-149.904519180433
951,1969,61.20630377857,-149.908981817601
952,1968,61.206304034023,-149.909342536666
953,1968,61.206304286571,-149.909704440904
954,1968,61.206427483337,-149.910149659303
955,1968,61.206304067471,-149.910723963198
956,1963,61.206678482569,-149.911689450172
961,1961,61.207637597874,-149.909755233976
966,1967,61.207282377813,-149.907959655595
967,1963,61.207042463544,-149.908546337844
970,1963,61.207063247669,-149.909535730488
971,1964,61.207042421184,-149.910023831235
973,1966,61.206892815053,-149.910452386879
974,1969,61.20675097394,-149.910453623197
978,1969,61.206897428262,-149.908947157437
979,1961,61.206897124528,-149.908520492457
980,1966,61.206746209958,-149.907952657533
987,1965,61.209606567698,-149.908428001244
991,1961,61.208992441966,-149.907960772478
992,1962,61.208791363616,-149.907960054981
993,1967,61.208565063463,-149.909642607324
996,1962,61.208991742741,-149.909641401817
997,1965,61.209134254571,-149.909640999155
1000,1961,61.209608004423,-149.909463096657
1001,1963,61.20960802966,-149.910456416284
1004,1961,61.209021581019,-149.91000127325
1007,1963,61.208437047986,-149.910001597345
1009,1961,61.208142747559,-149.910001762354
1011,1961,61.208012679583,-149.91000183297
1012,1961,61.207809291317,-149.910553193441
1013,1961,61.20782392155,-149.910994279778
1017,1964,61.208424345866,-149.911688644513
1021,1968,61.209292048088,-149.911692101311
1022,1963,61.209418237373,-149.911692598625
1035,1962,61.207155518639,-149.914474110881
1036,1965,61.20732030168,-149.914518514436
1041,1963,61.20688818761,-149.914694814765
1047,1963,61.2065255848,-149.912985642171
1053,1962,61.209519303629,-149.919013021678
1055,1963,61.209238111331,-149.917771580061
1056,1963,61.209237587842,-149.916962308049
1059,1961,61.209608425003,-149.913645693229
1060,1962,61.209607873243,-149.913218685991
1064,1965,61.209120485904,-149.912043777872
1068,1965,61.208792129805,-149.913659622204
1069,1963,61.208794063836,-149.914822566711
1070,1961,61.208793314868,-149.915111260335
1071,1963,61.209067728032,-149.915773753659
1073,1966,61.208444704662,-149.915710949554
1074,1967,61.208625800686,-149.915217737045
1075,1968,61.208625520976,-149.914797870859
1076,1968,61.208625364283,-149.914561995631
1078,1961,61.208624818259,-149.913743138349
1079,1965,61.208624581555,-149.913393411509
1080,1961,61.20862432568,-149.913015216095
1081,1969,61.208624051131,-149.912609691986
1082,1961,61.208294729106,-149.912046046877
1083,1962,61.208141737309,-149.912046467884
1084,1961,61.207808733782,-149.912604386251
1085,1961,61.207808993408,-149.912986632234
1086,1961,61.207809249361,-149.91336481787
1087,1962,61.207809486137,-149.913714535668
1089,1966,61.207810042653,-149.914545405393
1092,1966,61.207810726885,-149.915580461056
1093,1961,61.208523160212,-149.916465677858
1097,1961,61.208913860006,-149.91613452292
1099,1963,61.209340214308,-149.919132156507
1100,1963,61.209246450802,-149.918890817156
1115,1962,61.209610272476,-149.917350451727
1170,1962,61.202657742108,-149.938062323261
1174,1962,61.202518224053,-149.940713777214
1175,1962,61.202400610541,-149.941164615245
1176,1969,61.202290122699,-149.941592416924
1189,1962,61.203620924513,-149.938151505778
1197,1969,61.203480764781,-149.923049897414
1199,1965,61.203225150442,-149.922435601833
1204,1965,61.202546618215,-149.920800996806
1205,1967,61.202183861583,-149.921372405573
1206,1967,61.202275200824,-149.921738561163
1207,1964,61.20240065614,-149.922179239465
1208,1964,61.202520395048,-149.922461341292
1214,1964,61.203051973311,-149.924417094049
1215,1965,61.203492667536,-149.92435257244
1221,1963,61.203877014686,-149.923581759697
1222,1962,61.204043040493,-149.923994098266
1244,1969,61.203508833628,-149.924763333965
1245,1964,61.203349831673,-149.925035265295
1246,1966,61.204487535848,-149.925386645918
1248,1965,61.202662135542,-149.926254083208
1249,1964,61.202197267022,-149.927078828574
1250,1966,61.20197790754,-149.927466852619
1253,1968,61.203126138616,-149.92709074867
1265,1968,61.202523610052,-149.900941572056
1266,1963,61.202523631785,-149.901248712973
1267,1963,61.202719873603,-149.901677922908
1268,1964,61.202707309356,-149.902037075868
1269,1964,61.202523706277,-149.902522891382
