,Year Built,lat,lng
14,2006,61.214524454056,-149.910014377248
15,2006,61.214527157891,-149.910160375158
16,2006,61.214525942558,-149.910295561867
17,2006,61.214527338605,-149.910433452414
251,2007,61.214889179497,-149.905611066482
355,2006,61.211579073573,-149.915111582042
385,2004,61.213208018717,-149.913683302878
418,2008,61.209908960222,-149.916129398169
424,2000,61.210592742058,-149.918715148107
535,2006,61.211266336554,-149.899800154522
712,2000,61.21672768418992,-149.907612691119
744,2006,61.210762970237,-149.908499738513
804,2005,61.206271723517,-149.899137997826
862,2007,61.20879043068,-149.900466240014
901,2003,61.209386962283,-149.903496249478
902,2003,61.209415877381,-149.90350030663
903,2003,61.209253173895,-149.903500084267
904,2003,61.209280380118,-149.903501498202
937,2005,61.208051473279,-149.907596115483
981,2001,61.206316478545,-149.908605965795
982,2001,61.206318549109,-149.908447511115
1040,2001,61.207044064874,-149.914806532384
1054,2003,61.209314064853,-149.918487967815
1107,2004,61.208444592092,-149.916852875647
1108,2004,61.208479675129,-149.916954504158
1109,2004,61.208355643007,-149.916631215533
1110,2004,61.208398236185,-149.916725309606
1111,2004,61.20827020979,-149.916424530074
1112,2004,61.208303256269,-149.916510204789
1117,2004,61.207926788703,-149.91614876749
1118,2004,61.208206666813,-149.916262996525
1162,2007,61.205444232777,-149.927067057624
1166,2007,61.204436381333,-149.928949625726
1168,2007,61.203001303755,-149.931152221597
1171,2002,61.203044743464,-149.941860777327
1184,2008,61.2031550194,-149.942457745863
1186,2003,61.20369044207,-149.940127984843
1217,2006,61.2172785056663,-149.905948818133
1223,2003,61.205343604272,-149.924346267629
1236,2002,61.203197526438,-149.920744971007
1247,2008,61.202808688853,-149.925994383657
1292,2002,61.203087294666,-149.899623551384
1554,2002,61.201568640634,-149.908422815898
1575,2000,61.201979794279,-149.906250807647
1673,2001,61.200541781844,-149.912175855796
1829,2003,61.201557403803,-149.929414228968
2035,2004,61.199914200587,-149.95706180245
2102,2006,61.196554969036,-149.960138992112
2112,2001,61.197600469897,-149.961046840699
2123,2001,61.198806320988,-149.960492540943
2247,2002,61.39213050437469,-149.447723809988
2436,2004,61.12111054064757,-149.93371791202
2554,2000,61.196484726313,-149.93660164357
2825,2004,61.198522079837,-149.910416557223
